time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/03/25/14:16:28.723947,58,1648185388,723265851,map,719.769864726,109.234183815,0.0,0.0,0.0,-0.999998216721,0.00188853239453
2022/03/25/14:16:28.823674,59,1648185388,823006275,map,719.769864726,109.234183815,0.0,0.0,0.0,-0.999998216721,0.00188853239453
2022/03/25/14:16:28.923872,60,1648185388,923249680,map,719.769864726,109.234183815,0.0,0.0,0.0,-0.999998216721,0.00188853239453
2022/03/25/14:16:29.023970,61,1648185389,23259630,map,719.646135225,109.234183815,0.0,0.0,-0.0,-0.999730880768,-0.0231984059441
2022/03/25/14:16:29.123973,62,1648185389,123244387,map,719.646135225,109.234183815,0.0,0.0,-0.0,-0.999730880768,-0.0231984059441
2022/03/25/14:16:29.223976,63,1648185389,223257561,map,719.495892258,109.245282594,0.0,0.0,-0.0,-0.999993849643,-0.00350723194162
2022/03/25/14:16:29.323934,64,1648185389,323210635,map,719.495892258,109.245282594,0.0,0.0,-0.0,-0.999993849643,-0.00350723194162
2022/03/25/14:16:29.423944,65,1648185389,423214692,map,719.495892258,109.245282594,0.0,0.0,-0.0,-0.999993849643,-0.00350723194162
2022/03/25/14:16:29.523897,66,1648185389,523255539,map,719.310298005,109.267480152,0.0,0.0,-0.0,-0.996953631107,-0.0779965218611
2022/03/25/14:16:29.623695,67,1648185389,623005866,map,719.310298005,109.267480152,0.0,0.0,-0.0,-0.996953631107,-0.0779965218611
2022/03/25/14:16:29.724006,68,1648185389,723247044,map,719.107028109,109.256381372,0.0,0.0,-0.0,-0.99995033196,-0.00996662494912
2022/03/25/14:16:29.823953,69,1648185389,823231915,map,719.107028109,109.256381372,0.0,0.0,-0.0,-0.99995033196,-0.00996662494912
2022/03/25/14:16:29.923917,70,1648185389,923183121,map,719.107028109,109.256381372,0.0,0.0,-0.0,-0.99995033196,-0.00996662494912
